contract,full
ain't,are not
aren't,are not
can't,can not
could've,could have
couldn't,could not
didn't,did not
doesn't,does not
don't,do not
hasn't,has not
haven't,have not
he'd,he would
he'll,he will
he's,he is
how'd,how would
how'll,how will
how's,how is
i'd,i would
i'll,i will
i'm,i am
i've,i have
isn't,is not
it's,it is
might've,might have
mightn't,might not
must've,must have
mustn't,must not
shan't,shall not
she'd,she would
she'll,she will
she's,she is
should've,should have
shouldn't,should not
that'll,that will
that's,that is
there's,there is
they'd,they would
they'll,they will
they're,they are
they've,they have
wasn't,was not
we'd,we would
we'll,we will
we're,we are
weren't,were not
what'd,what would
what's,what is
when's,when is
when'd,when would
when'll,when will
when's,when is
where'd,where would
where'll,where will
where's,where is
who'd,who would
who'll,who will
who's,who is
why'd,why would
why'll,why will
why's,why is
won't,would not
would've,would have
wouldn't,would not
you'd,you would
you'll,you will
you're,you are
you've,you have
